email_date	email_subject	rank	company	evaluation	notes
5/25/2026	Daily Market Movers: Global Majors & Industry (25th May 2026)	8	Eczacibasi Pharmaceuticals	11%	
5/25/2026	Weekly Market Movers: Global Majors & Industry (25 May 2026)	8	Hamamatsu Photonics	12%	
5/25/2026	Weekly Market Movers: Global Majors & Industry (25 May 2026)	9	Repligen	12%	
5/25/2026	Daily Market Movers: Global Majors & Industry (25th May 2026)	9	Abivax	10%	25 May: Company announces Q1'26 results.
5/25/2026	Weekly Asia Market Movers: Global Majors & Industry (25 May 2026)	9	Supriya Lifescience	12%	
5/25/2026	Daily Market Movers: Global Majors & Industry (25th May 2026)	10	Nanobiotix	9%	
5/25/2026	Weekly Market Movers: Global Majors & Industry (25 May 2026)	10	Bio-Techne	11%	
5/25/2026	Weekly Asia Market Movers: Global Majors & Industry (25 May 2026)	10	Sichuan Kelun-Biotech Biopharmaceutical	12%	
5/26/2026	Market Movers: Global Majors & Industry (26 May 2026)	1	Twist Bioscience	7%	
5/26/2026	Market Movers: Global Majors & Industry (26 May 2026)	2	plozasiran data at the 94th European Atherosclerosis Society Congress in Athens. 7 Eczacibasi Pharmaceuticals	5%	
5/26/2026	Market Movers: Global Majors & Industry (26 May 2026)	2	Scholar Rock	7%	
5/26/2026	Market Movers: Global Majors & Industry (26 May 2026)	3	Biohaven	7%	
5/26/2026	Market Movers: Global Majors & Industry (26 May 2026)	4	Vaxcyte	6%	
5/26/2026	Market Movers: Global Majors & Industry (26 May 2026)	5	Stoke Therapeutics	6%	
5/26/2026	Market Movers: Global Majors & Industry (26 May 2026)	6	Arrowhead Pharmaceuticals	5%	27 May: Shares raise after company presented new positive Phase
5/26/2026	Market Movers: Global Majors & Industry (26 May 2026)	8	ArriVent Biopharma	5%	
5/26/2026	Market Movers: Global Majors & Industry (26 May 2026)	9	MannKind	4%	
5/26/2026	Market Movers: Global Majors & Industry (26 May 2026)	10	Dyne Therapeutics	4%	27 May: Shares raise after company announced the submission of a Biologics License Application to the U.S. FDA for DYNE-251 for the treatment of Duchenne muscular dystrophy patients, with the company also requesting Priority Review and seeking Accelerated Approval based on dystrophin as a surrogate endpoint.
5/27/2026	Daily Market Movers: Global Majors & Industry (27th May 2026)	1	Corcept Therapeutics	10%	27 May: Company to resubmit its New Drug Application for Relacorilant as a treatment for patients with Cushing���s Syndrome.
5/27/2026	Daily Market Movers: Global Majors & Industry (27th May 2026)	2	Erasca	8%	
5/27/2026	Daily Market Movers: Global Majors & Industry (27th May 2026)	3	BillionToOne	8%	
5/27/2026	Daily Market Movers: Global Majors & Industry (27th May 2026)	4	Travere Therapeutics	8%	27 May: Company receives notice of allowance from the U.S. patent and trademark office for U.S. patent application directed to certain methods of using Filspari (sparsentan) in IgA nephropathy.
5/27/2026	Daily Market Movers: Global Majors & Industry (27th May 2026)	5	Beam Therapeutics	7%	
5/27/2026	Daily Market Movers: Global Majors & Industry (27th May 2026)	6	Charles River Laboratories International	5%	
5/27/2026	Daily Market Movers: Global Majors & Industry (27th May 2026)	7	PTC Therapeutics	4%	27 May: Company is upgraded at Jefferies from hold to buy as it is expecting to beat consensus estimates thanks to its phenylketonuria therapy, Sephience.
5/27/2026	Daily Market Movers: Global Majors & Industry (27th May 2026)	8	Denali Therapeutics	4%	
5/27/2026	Daily Market Movers: Global Majors & Industry (27th May 2026)	9	Fujitsu	4%	
5/27/2026	Daily Market Movers: Global Majors & Industry (27th May 2026)	10	ICON	4%	27 May: Company reports Q4 and FY25 results with Q4 revenue of $2,112.5m and FY25 revenue was $8,251m.
5/28/2026	Daily Market Movers: Global Majors & Industry (28 May 2026)	1	Agilent Technologies	17%	28 May: Company reports Q2 fiscal year 2026 results with revenue of $1.83bn, a growth of 10% compare to Q2'25.
5/28/2026	Daily Market Movers: Global Majors & Industry (28 May 2026)	2	ICON	15%	28 May: Company reports Q4'25 results, with full year revenue of $8.251m.
5/28/2026	Daily Market Movers: Global Majors & Industry (28 May 2026)	3	Bruker	12%	
5/28/2026	Daily Market Movers: Global Majors & Industry (28 May 2026)	4	Charles River Laboratories International	10%	
5/28/2026	Daily Market Movers: Global Majors & Industry (28 May 2026)	5	10x Genomics	10%	
5/28/2026	Daily Market Movers: Global Majors & Industry (28 May 2026)	6	Repligen	8%	
5/28/2026	Daily Market Movers: Global Majors & Industry (28 May 2026)	7	Caris Life Sciences	8%	
5/28/2026	Daily Market Movers: Global Majors & Industry (28 May 2026)	8	Twist Bioscience	8%	
5/28/2026	Daily Market Movers: Global Majors & Industry (28 May 2026)	9	BillionToOne	7%	
5/28/2026	Daily Market Movers: Global Majors & Industry (28 May 2026)	10	Thermo Fisher Scientific	7%	
5/29/2026	Daily Market Movers: Global Majors & Industry (29 May 2026)	1	Replimune	86%	29 May: Company announces that following collaborative communications with the FDA, the Company and the FDA have aligned on a path forward for resubmission and reconsideration of the Biologics License Application for RP1 in combination with nivolumab for the treatment of advanced melanoma.
5/29/2026	Weekly Market Movers: Global Majors & Industry (29 May 2026)	1	Bruker	29%	
5/29/2026	Weekly Market Movers: Global Majors & Industry (29 May 2026)	2	10x Genomics	20%	
5/29/2026	Daily Market Movers: Global Majors & Industry (29 May 2026)	2	Indaptus Therapeutics	27%	
5/29/2026	Weekly Market Movers: Global Majors & Industry (29 May 2026)	3	Sellas Life Sciences Group	20%	
5/29/2026	Daily Market Movers: Global Majors & Industry (29 May 2026)	3	C4 Therapeutics	19%	29 May: Shares rise after Bristol Myers Squibb announces positive phase III survival data for mezigdomide for multiple myeloma, which is similar to company's lead candidate.
5/29/2026	Weekly Market Movers: Global Majors & Industry (29 May 2026)	4	Recursion Pharmaceuticals	19%	
5/29/2026	Daily Market Movers: Global Majors & Industry (29 May 2026)	4	Sakai Chemical Industry	17%	
5/29/2026	Daily Market Movers: Global Majors & Industry (29 May 2026)	5	Alpha Teknova	16%	
5/29/2026	Weekly Market Movers: Global Majors & Industry (29 May 2026)	5	Novavax	19%	
5/29/2026	Daily Market Movers: Global Majors & Industry (29 May 2026)	6	uniQure	15%	
5/29/2026	Weekly Market Movers: Global Majors & Industry (29 May 2026)	6	AbCellera Biologics	19%	
5/29/2026	Daily Market Movers: Global Majors & Industry (29 May 2026)	7	Immuneering Corporation	14%	
5/29/2026	Weekly Market Movers: Global Majors & Industry (29 May 2026)	7	Agilent Technologies	18%	28 May: Company reports Q2 fiscal year 2026 results with revenue of $1.83bn, a growth of 10% compare to Q2'25.
5/29/2026	Daily Market Movers: Global Majors & Industry (29 May 2026)	8	Semnur Pharmaceuticals	13%	
5/29/2026	Weekly Market Movers: Global Majors & Industry (29 May 2026)	8	uniQure	18%	
